,date,value
139,2019-07-15,3014.3
140,2019-07-16,3004.04
141,2019-07-17,2984.42
142,2019-07-18,2995.11
143,2019-07-19,2976.61
144,2019-07-22,2985.03
145,2019-07-23,3005.47
146,2019-07-24,3019.56
147,2019-07-25,3003.67
148,2019-07-26,3025.86
149,2019-07-29,3020.97
150,2019-07-30,3013.18
151,2019-07-31,2980.38
152,2019-08-01,2953.56
153,2019-08-02,2932.05
154,2019-08-05,2844.74
155,2019-08-06,2881.77
156,2019-08-07,2883.98
157,2019-08-08,2938.09
158,2019-08-09,2918.65
159,2019-08-12,2883.75
160,2019-08-13,2926.32
161,2019-08-14,2840.6
162,2019-08-15,2847.6
163,2019-08-16,2888.68
164,2019-08-19,2923.65
165,2019-08-20,2900.51
166,2019-08-21,2924.43
167,2019-08-22,2922.95
168,2019-08-23,2847.11
169,2019-08-26,2878.38
170,2019-08-27,2869.16
171,2019-08-28,2887.94
172,2019-08-29,2924.58
173,2019-08-30,2926.46
175,2019-09-03,2906.27
176,2019-09-04,2937.78
177,2019-09-05,2976.0
178,2019-09-06,2978.71
179,2019-09-09,2978.43
180,2019-09-10,2979.39
181,2019-09-11,3000.93
182,2019-09-12,3009.57
183,2019-09-13,3007.39
184,2019-09-16,2997.96
185,2019-09-17,3005.7
186,2019-09-18,3006.73
187,2019-09-19,3006.79
188,2019-09-20,2992.07
189,2019-09-23,2991.78
190,2019-09-24,2966.6
191,2019-09-25,2984.87
192,2019-09-26,2977.62
193,2019-09-27,2961.79
194,2019-09-30,2976.74
195,2019-10-01,2940.25
196,2019-10-02,2887.61
197,2019-10-03,2910.63
198,2019-10-04,2952.01
199,2019-10-07,2938.79
200,2019-10-08,2893.06
201,2019-10-09,2919.4
202,2019-10-10,2938.13
203,2019-10-11,2970.27
204,2019-10-14,2966.15
205,2019-10-15,2995.68
206,2019-10-16,2989.69
207,2019-10-17,2997.95
208,2019-10-18,2986.2
209,2019-10-21,3006.72
210,2019-10-22,2995.99
211,2019-10-23,3004.52
212,2019-10-24,3010.29
213,2019-10-25,3022.55
214,2019-10-28,3039.42
215,2019-10-29,3036.89
216,2019-10-30,3046.77
217,2019-10-31,3037.56
218,2019-11-01,3066.91
219,2019-11-04,3078.27
220,2019-11-05,3074.62
221,2019-11-06,3076.78
222,2019-11-07,3085.18
223,2019-11-08,3093.08
224,2019-11-11,3087.01
225,2019-11-12,3091.84
226,2019-11-13,3094.04
227,2019-11-14,3096.63
228,2019-11-15,3120.46
229,2019-11-18,3122.03
230,2019-11-19,3120.18
231,2019-11-20,3108.46
232,2019-11-21,3103.54
233,2019-11-22,3110.29
234,2019-11-25,3133.64
235,2019-11-26,3140.52
236,2019-11-27,3153.63
238,2019-11-29,3140.98
239,2019-12-02,3113.87
240,2019-12-03,3093.2
241,2019-12-04,3112.76
242,2019-12-05,3117.43
243,2019-12-06,3145.91
244,2019-12-09,3135.96
245,2019-12-10,3132.52
246,2019-12-11,3141.63
247,2019-12-12,3168.57
248,2019-12-13,3168.8
249,2019-12-16,3191.45
250,2019-12-17,3192.52
251,2019-12-18,3191.14
252,2019-12-19,3205.37
253,2019-12-20,3221.22
254,2019-12-23,3224.01
255,2019-12-24,3223.38
257,2019-12-26,3239.91
258,2019-12-27,3240.02
259,2019-12-30,3221.29
260,2019-12-31,3230.78
262,2020-01-02,3257.85
263,2020-01-03,3234.85
264,2020-01-06,3246.28
265,2020-01-07,3237.18
266,2020-01-08,3253.05
267,2020-01-09,3274.7
268,2020-01-10,3265.35
269,2020-01-13,3288.13
270,2020-01-14,3283.15
271,2020-01-15,3289.29
272,2020-01-16,3316.81
273,2020-01-17,3329.62
275,2020-01-21,3320.79
276,2020-01-22,3321.75
277,2020-01-23,3325.54
278,2020-01-24,3295.47
279,2020-01-27,3243.63
280,2020-01-28,3276.24
281,2020-01-29,3273.4
282,2020-01-30,3283.66
283,2020-01-31,3225.52
284,2020-02-03,3248.92
285,2020-02-04,3297.59
286,2020-02-05,3334.69
287,2020-02-06,3345.78
288,2020-02-07,3327.71
289,2020-02-10,3352.09
290,2020-02-11,3357.75
291,2020-02-12,3379.45
292,2020-02-13,3373.94
293,2020-02-14,3380.16
295,2020-02-18,3370.29
296,2020-02-19,3386.15
297,2020-02-20,3373.23
298,2020-02-21,3337.75
299,2020-02-24,3225.89
300,2020-02-25,3128.21
301,2020-02-26,3116.39
302,2020-02-27,2978.76
303,2020-02-28,2954.22
304,2020-03-02,3090.23
305,2020-03-03,3003.37
306,2020-03-04,3130.12
307,2020-03-05,3023.94
308,2020-03-06,2972.37
309,2020-03-09,2746.56
310,2020-03-10,2882.23
311,2020-03-11,2741.38
312,2020-03-12,2480.64
313,2020-03-13,2711.02
314,2020-03-16,2386.13
315,2020-03-17,2529.19
316,2020-03-18,2398.1
317,2020-03-19,2409.39
318,2020-03-20,2304.92
319,2020-03-23,2237.4
320,2020-03-24,2447.33
321,2020-03-25,2475.56
322,2020-03-26,2630.07
323,2020-03-27,2541.47
324,2020-03-30,2626.65
325,2020-03-31,2584.59
326,2020-04-01,2470.5
327,2020-04-02,2526.9
328,2020-04-03,2488.65
329,2020-04-06,2663.68
330,2020-04-07,2659.41
331,2020-04-08,2749.98
332,2020-04-09,2789.82
334,2020-04-13,2761.63
335,2020-04-14,2846.06
336,2020-04-15,2783.36
337,2020-04-16,2799.55
338,2020-04-17,2874.56
339,2020-04-20,2823.16
340,2020-04-21,2736.56
341,2020-04-22,2799.31
342,2020-04-23,2797.8
343,2020-04-24,2836.74
344,2020-04-27,2878.48
345,2020-04-28,2863.39
346,2020-04-29,2939.51
347,2020-04-30,2912.43
348,2020-05-01,2830.71
349,2020-05-04,2842.74
350,2020-05-05,2868.44
351,2020-05-06,2848.42
352,2020-05-07,2881.19
353,2020-05-08,2929.8
354,2020-05-11,2930.32
355,2020-05-12,2870.12
356,2020-05-13,2820.0
357,2020-05-14,2852.5
358,2020-05-15,2863.7
359,2020-05-18,2953.91
360,2020-05-19,2922.94
361,2020-05-20,2971.61
362,2020-05-21,2948.51
363,2020-05-22,2955.45
365,2020-05-26,2991.77
366,2020-05-27,3036.13
367,2020-05-28,3029.73
368,2020-05-29,3044.31
369,2020-06-01,3055.73
370,2020-06-02,3080.82
371,2020-06-03,3122.87
372,2020-06-04,3112.35
373,2020-06-05,3193.93
374,2020-06-08,3232.39
375,2020-06-09,3207.18
376,2020-06-10,3190.14
377,2020-06-11,3002.1
378,2020-06-12,3041.31
379,2020-06-15,3066.59
380,2020-06-16,3124.74
381,2020-06-17,3113.49
382,2020-06-18,3115.34
383,2020-06-19,3097.74
384,2020-06-22,3117.86
385,2020-06-23,3131.29
386,2020-06-24,3050.33
387,2020-06-25,3083.76
388,2020-06-26,3009.05
389,2020-06-29,3053.24
390,2020-06-30,3100.29
391,2020-07-01,3115.86
392,2020-07-02,3130.01
394,2020-07-06,3179.72
395,2020-07-07,3145.32
396,2020-07-08,3169.94
397,2020-07-09,3152.05
398,2020-07-10,3185.04
399,2020-07-13,3155.22
400,2020-07-14,3197.52
401,2020-07-15,3226.56
402,2020-07-16,3215.57
403,2020-07-17,3224.73
404,2020-07-20,3251.84
405,2020-07-21,3257.3
406,2020-07-22,3276.02
407,2020-07-23,3235.66
408,2020-07-24,3215.63
409,2020-07-27,3239.41
410,2020-07-28,3218.44
411,2020-07-29,3258.44
412,2020-07-30,3246.22
413,2020-07-31,3271.12
414,2020-08-03,3294.61
415,2020-08-04,3306.51
416,2020-08-05,3327.77
417,2020-08-06,3349.16
418,2020-08-07,3351.28
419,2020-08-10,3360.47
420,2020-08-11,3333.69
421,2020-08-12,3380.35
422,2020-08-13,3373.43
423,2020-08-14,3372.85
424,2020-08-17,3381.99
425,2020-08-18,3389.78
426,2020-08-19,3374.85
427,2020-08-20,3385.51
428,2020-08-21,3397.16
429,2020-08-24,3431.28
430,2020-08-25,3443.62
431,2020-08-26,3478.73
432,2020-08-27,3484.55
433,2020-08-28,3508.01
434,2020-08-31,3500.31
435,2020-09-01,3526.65
436,2020-09-02,3580.84
437,2020-09-03,3455.06
438,2020-09-04,3426.96
440,2020-09-08,3331.84
441,2020-09-09,3398.96
442,2020-09-10,3339.19
443,2020-09-11,3340.97
444,2020-09-14,3383.54
445,2020-09-15,3401.2
446,2020-09-16,3385.49
447,2020-09-17,3357.01
448,2020-09-18,3319.47
449,2020-09-21,3281.06
450,2020-09-22,3315.57
451,2020-09-23,3236.92
452,2020-09-24,3246.59
453,2020-09-25,3298.46
454,2020-09-28,3351.6
455,2020-09-29,3335.47
456,2020-09-30,3363.0
457,2020-10-01,3380.8
458,2020-10-02,3348.44
459,2020-10-05,3408.63
460,2020-10-06,3360.95
461,2020-10-07,3419.45
462,2020-10-08,3446.83
463,2020-10-09,3477.13
464,2020-10-12,3534.22
465,2020-10-13,3511.93
466,2020-10-14,3488.67
467,2020-10-15,3483.34
468,2020-10-16,3483.81
